RELIANCE,TCS,HINDUNILVR,HDFCBANK,HDFC,INFY,KOTAKBANK,BHARTIARTL,ITC,ICICIBANK,SBIN,ASIANPAINT,DMART,BAJFINANCE,MARUTI,HCLTECH,LT,WIPRO,AXISBANK,ULTRACEMCO,HDFCLIFE,COALINDIA,ONGC,SUNPHARMA,NTPC,POWERGRID,TITAN,DABUR,IOC,BAJAJFINSV,PIDILITIND,BPCL,HINDZINC,BRITANNIA,SBILIFE,SHREECEM,BAJAJ-AUTO,SBICARD,TECHM,GODREJCP,DIVISLAB,DRREDDY,ICICIPRULI,ADANIPORTS,ICICIGI,BERGEPAINT,HDFCAMC,GSKCONS,INDIGO,SIEMENS,EICHERMOT,MARICO,M&M,JSWSTEEL,MCDOWELL-N,GAIL,CIPLA,COLPAL,DLF,TORNTPHARM,PGHH,BANDHANBNK,BIOCON,HEROMOTOCO,GRASIM,AMBUJACEM,TATASTEEL,HAVELLS,PETRONET,INFRATEL,HINDPETRO,YESBANK,ALKEM,BOSCHLTD,CADILAHC,IGL,LUPIN,UPL,NAUKRI,LTI,BANKBARODA,MRF,MUTHOOTFIN,NMDC,INDUSINDBK,UBL,PFC,AUROPHARMA,VEDL,ADANIGREEN,WHIRLPOOL,HONAUT,TATAMOTORS,PNB,HINDALCO,GLAXO,3MINDIA,PEL,KANSAINER,ADANITRANS,Sensex
2396.17,3640.94,2047.26,1446.5,2295.62,1874.83,1763.79,709.69,240.65,706.68,492.21,3032.39,4189.33,6829.54,7497.48,1192.73,1757.12,596.28,721.66,6214.45,515.08,175.6,165.38,887.33,132.28,209.77,2582.49,562.46,120.58,16101.37,2442.42,354.0,310.42,3277.0,1085.59,23316.61,3532.62,833.23,1481.23,735.89,4410.5,3924.46,465.85,724.45,1230.38,702.77,2195.2,,1895.43,2356.7,2354.96,522.31,772.02,654.78,879.6,150.94,1056.28,1517.53,351.97,2850.88,15283.45,289.1,328.92,2354.49,1600.25,304.37,1258.54,1125.5,202.8,,275.76,12.79,3404.0,14105.33,,388.29,745.47,750.06,4465.28,6048.4,107.81,68453.17,1336.67,150.36,926.54,1465.37,112.26,631.24,369.65,1830.52,1585.01,40066.51,424.01,35.98,569.64,1553.72,19627.59,2138.51,454.39,2281.72,2980.28
2456.66,3685.79,2098.61,1482.21,2397.65,1869.74,1814.76,723.45,244.3,720.5,501.29,3136.49,4199.26,6999.08,7665.99,1197.56,1789.5,605.0,741.29,6420.04,526.31,177.22,168.9,904.89,132.94,210.21,2690.83,561.03,121.09,16429.7,2515.02,362.78,310.64,3334.03,1120.13,24140.02,3642.53,850.28,1498.22,753.8,4484.51,4017.1,486.35,738.79,1237.19,717.61,2240.26,,1899.77,2382.22,2433.37,524.58,790.0,682.58,909.15,151.78,1051.92,1532.8,362.24,2910.67,15489.02,299.6,331.6,2408.91,1630.22,309.79,1297.78,1161.59,205.26,,281.05,12.94,3442.3,14521.97,,393.96,764.24,759.89,4601.37,6114.05,108.71,69253.03,1342.66,151.36,941.35,1474.49,115.59,643.92,378.2,1879.59,1655.39,39685.04,433.11,36.1,578.66,1576.35,20059.32,2249.53,470.14,2372.08,2890.4
2465.17,3650.28,2066.15,1484.44,2407.8,1858.7,1786.61,714.53,245.28,712.37,493.32,3073.28,4129.46,6920.21,7841.59,1184.45,1765.91,606.59,730.84,6263.26,526.77,182.49,173.22,922.76,132.46,207.56,2733.75,552.64,119.14,16250.74,2501.31,360.68,312.47,3275.05,1109.99,23627.97,3654.16,843.99,1497.61,727.06,4483.77,4036.8,486.45,738.78,1250.95,700.1,2195.36,,1850.71,2361.58,2397.51,511.36,784.56,689.69,916.01,145.62,1057.97,1521.87,359.57,2797.32,15577.02,295.55,332.3,2414.82,1581.21,302.31,1318.78,1150.89,198.11,,275.95,13.14,3485.27,14419.16,,379.66,765.72,772.31,4699.64,6059.82,106.93,67919.94,1349.33,152.66,918.96,1461.69,115.62,676.05,397.77,1890.93,1649.4,39458.09,430.44,35.86,594.14,1585.95,19967.92,2282.17,471.39,2301.72,952.72
2508.41,3674.13,1989.54,1478.67,2381.46,1873.62,1778.54,714.25,247.49,710.64,486.29,3017.34,4057.69,6893.67,7686.4,1173.35,1746.78,604.33,718.46,6140.07,523.62,183.34,177.7,913.36,132.78,207.59,2686.88,535.69,120.25,16262.71,2436.36,364.17,313.44,3161.71,1088.46,23308.06,3611.89,834.55,1513.32,698.18,4451.68,3991.12,479.47,733.94,1241.18,689.2,2149.24,,1801.93,2300.89,2368.1,492.05,775.74,689.93,903.34,144.17,1033.05,1496.94,352.04,2743.52,15490.75,290.73,332.55,2391.53,1560.01,300.04,1308.02,1115.65,194.27,,281.11,12.85,3543.95,14145.92,,371.52,757.9,779.99,4721.19,6082.27,105.55,66686.18,1356.15,152.7,916.58,1426.93,115.57,684.37,408.41,1879.02,1596.9,39307.88,432.31,35.47,594.65,1564.37,19828.21,2198.38,460.2,2327.96,951.96
2546.52,3708.22,1989.27,1481.7,2375.4,1878.22,1790.54,706.42,251.88,720.32,495.13,3026.53,4090.41,7032.44,7683.62,1181.77,1771.67,610.96,731.77,6247.05,529.15,181.46,176.05,914.23,133.1,209.49,2705.7,527.7,121.41,16521.63,2431.32,367.77,312.47,3114.97,1095.73,23474.74,3623.16,861.08,1546.62,695.04,4542.42,4147.67,482.29,740.43,1260.37,688.62,2217.51,,1827.12,2282.13,2393.02,487.26,779.12,702.86,912.28,144.65,1026.04,1527.8,361.28,2835.83,15327.45,305.36,338.78,2381.81,1580.39,298.83,1321.71,1146.07,194.72,,285.01,12.86,3643.97,14267.82,,377.74,756.87,787.49,4680.77,6118.7,107.32,67118.77,1347.14,151.22,934.37,1432.98,116.23,695.3,405.46,1914.52,1641.89,39165.58,439.74,35.94,604.86,1566.41,20366.6,2215.3,459.18,2407.05,957.83
2557.8,3741.33,1972.86,1449.15,2326.46,1883.95,1712.21,704.7,254.29,705.87,489.44,3008.92,4053.96,6985.54,7592.16,1185.76,1768.34,610.7,723.63,6318.87,523.4,187.06,177.79,904.61,134.93,210.14,2636.34,526.34,121.17,16411.71,2425.35,364.35,314.36,3111.33,1090.38,23369.62,3603.26,850.5,1558.79,696.79,4514.87,4283.58,480.39,736.05,1243.95,684.75,2189.81,,1850.56,2287.42,2370.39,481.41,770.18,714.18,908.83,146.68,1023.11,1517.92,356.6,2842.35,15133.08,298.34,340.87,2402.01,1592.66,297.53,1348.57,1142.82,196.83,,276.05,12.8,3622.45,14160.12,,376.42,769.24,796.43,4560.2,6125.4,106.57,66983.8,1346.0,156.11,927.98,1455.35,116.14,713.16,412.73,1907.55,1633.43,38923.09,432.4,35.7,621.74,1557.3,20024.78,2237.45,457.45,2404.14,936.21
2596.66,3716.53,1955.28,1430.95,2300.8,1874.13,1723.04,709.95,252.48,700.66,490.04,3018.28,4012.07,6991.83,7435.39,1185.74,1754.24,605.05,719.96,6339.43,522.21,186.75,177.0,903.05,134.9,208.72,2542.6,521.92,119.31,16356.79,2443.09,360.39,312.01,3091.16,1092.49,23275.84,3639.25,853.76,1544.17,687.58,4459.96,4334.52,488.33,738.23,1259.79,684.74,2170.34,,1935.21,2283.18,2348.28,477.81,764.48,719.64,893.6,147.57,1013.59,1510.8,362.07,2761.61,14836.07,301.3,347.65,2395.34,1593.33,297.05,1350.11,1145.15,196.38,,273.73,12.75,3611.91,14134.39,,370.36,760.03,805.24,4537.21,6167.05,108.08,66500.02,1294.08,158.63,925.18,1445.87,115.54,718.69,411.64,1914.46,1605.34,38550.12,432.99,35.58,623.55,1552.02,20043.2,2220.82,455.38,2433.39,905.39
2611.69,3689.86,1955.11,1417.35,2260.81,1867.81,1710.71,722.55,255.73,705.39,491.67,3023.02,4003.31,6958.49,7470.94,1165.1,1739.14,601.36,727.14,6326.38,511.91,190.96,176.39,904.47,134.63,209.99,2513.34,514.81,119.38,16363.47,2407.01,359.75,310.58,3084.89,1079.52,23105.76,3701.78,849.3,1524.36,679.31,4410.26,4278.19,475.1,735.0,1256.77,680.0,2103.75,,1966.96,2263.12,2354.68,473.27,761.65,726.41,876.31,152.12,1021.72,1515.69,361.95,2718.58,14523.93,299.31,344.4,2373.46,1593.01,291.7,1341.72,1127.46,192.86,,268.13,12.61,3620.72,13993.59,,365.16,755.04,783.7,4404.63,6044.59,110.02,65489.35,1293.34,160.26,932.47,1425.86,113.86,714.35,413.35,1917.89,1568.97,38136.95,431.2,35.33,628.11,1537.3,19598.56,2185.52,447.27,2441.12,897.5
2623.0,3707.08,1984.93,1442.08,2318.03,1875.61,1731.66,751.53,255.06,712.64,496.03,3052.13,4003.69,7023.87,7492.26,1168.94,1740.81,602.19,736.28,6506.23,520.17,186.9,171.99,913.69,134.45,211.94,2541.94,517.03,119.39,16516.5,2406.81,359.97,309.17,3107.72,1098.0,23590.97,3696.41,850.18,1525.27,693.55,4537.92,4316.46,492.03,754.87,1276.66,691.63,2099.82,,1986.27,2292.81,2428.07,480.41,774.53,744.65,868.24,152.12,1033.24,1523.44,370.1,2787.27,14634.29,295.26,345.06,2259.17,1619.29,300.47,1335.58,1148.86,193.42,,268.3,12.57,3636.48,14135.6,,370.89,760.07,783.71,4482.68,6036.47,111.8,65888.29,1297.84,159.81,929.93,1414.29,112.72,692.45,411.13,1921.74,1574.51,38658.23,435.02,35.27,629.23,1650.46,19546.4,2194.06,448.98,2465.1,897.77
2661.36,3723.34,2009.75,1468.52,2375.78,1906.67,1753.54,756.69,251.58,727.15,496.58,3077.9,4020.02,7221.88,7587.36,1172.1,1767.48,604.1,753.77,6632.73,535.93,184.8,162.6,917.08,134.99,216.2,2536.83,524.25,117.24,17019.38,2426.23,360.58,311.08,3143.08,1117.5,24040.47,3698.48,871.19,1495.77,718.93,4580.64,4336.41,498.31,769.15,1311.71,692.77,2144.11,,1988.69,2326.53,2483.11,488.5,789.62,728.13,872.95,153.11,1037.63,1528.49,381.85,2807.81,14135.3,302.91,343.4,2262.29,1661.44,302.63,1308.4,1153.52,196.27,,266.1,12.34,3626.38,14390.78,,372.68,755.39,779.2,4592.9,6221.06,113.82,65488.76,1306.2,158.59,931.78,1426.61,112.44,679.24,400.4,1937.9,1580.89,39688.28,439.04,35.16,605.56,1670.09,19679.22,2218.3,450.98,2439.65,926.73
2642.0,3743.43,2038.92,1473.98,2401.07,1904.15,1761.76,748.4,251.19,732.05,494.45,3098.04,4013.45,7319.35,7576.32,1165.74,1767.17,594.86,758.27,6625.43,541.14,183.15,163.55,917.19,135.06,215.97,2534.2,535.02,119.56,17135.3,2458.39,360.85,311.66,3191.38,1121.24,24054.75,3665.19,857.02,1500.82,742.78,4451.56,4335.85,499.79,774.64,1337.5,698.65,2170.21,,2007.37,2351.84,2462.65,501.43,807.51,730.66,885.5,155.34,1018.46,1541.35,381.89,2794.26,14383.4,305.42,338.04,2298.57,1662.97,300.64,1311.19,1153.35,194.52,,269.97,12.34,3621.7,14407.03,,376.67,746.18,769.92,4564.01,6227.99,112.36,65196.12,1321.03,162.37,932.62,1474.78,112.87,672.4,405.1,1906.02,1572.98,39657.84,435.36,35.12,576.51,1669.61,19662.67,2193.61,469.82,2367.88,946.63
2641.48,3747.37,2064.16,1494.73,2418.86,1894.62,1773.67,757.01,251.32,732.49,503.37,3103.16,4051.3,7345.26,7631.34,1163.84,1778.97,596.88,766.97,6631.6,547.23,185.97,165.79,909.67,140.85,223.1,2510.21,541.21,120.88,17115.78,2472.96,370.03,318.2,3219.65,1103.96,24390.75,3707.46,863.17,1487.32,749.93,4373.17,4296.94,502.72,784.47,1338.28,705.19,2235.76,,1992.85,2376.69,2465.98,512.9,818.92,737.47,893.16,159.35,1013.93,1544.58,383.92,2783.89,14407.26,316.83,340.36,2209.74,1667.04,303.06,1321.2,1165.35,197.16,,273.88,12.58,3517.47,14513.43,,377.4,754.22,777.48,4568.74,6158.74,114.83,65961.24,1347.69,165.42,956.56,1502.4,115.03,676.83,406.9,1932.26,1599.93,39691.29,437.6,36.05,568.47,1662.37,20070.12,2217.65,464.16,2407.89,932.57
2658.17,3767.16,2110.64,1651.17,2721.95,1884.52,1804.47,767.53,254.24,742.4,511.42,3118.57,4108.74,7503.64,7718.17,1178.86,1813.66,604.34,776.87,6708.85,579.33,187.36,167.46,919.21,144.29,225.77,2526.48,540.09,122.31,17205.95,2495.97,378.39,323.91,3259.95,1117.09,24649.89,3750.9,881.18,1497.36,764.76,4445.17,4306.57,511.75,804.26,1352.9,719.04,2386.47,,2009.34,2409.49,2488.57,527.05,826.65,733.12,909.77,162.61,1016.74,1559.18,386.71,2825.24,14294.18,320.85,345.38,2292.37,1675.18,308.63,1336.98,1181.2,198.53,,279.25,12.95,3488.1,14821.48,,389.33,774.13,786.06,4670.32,6292.51,116.21,66963.57,1357.09,169.47,975.72,1523.42,118.3,689.11,415.56,2026.86,1628.6,39879.53,446.28,36.76,579.53,1635.57,20383.42,2254.92,462.84,2426.03,925.13
2636.9,3813.04,2143.56,1619.67,2638.5,1871.26,1817.83,767.2,258.9,747.59,512.46,3136.1,4125.4,7396.47,7826.44,1196.58,1835.81,601.9,785.79,6740.49,569.63,187.71,171.21,930.81,147.61,230.13,2552.85,549.72,122.96,16942.67,2510.93,379.73,330.52,3297.39,1118.31,25084.87,3798.93,849.81,1501.26,776.3,4472.85,4357.54,507.71,846.58,1348.96,725.29,2342.81,,2003.44,2446.9,2570.14,541.66,841.65,736.89,924.68,161.91,1025.55,1579.45,392.67,2797.22,14353.64,316.75,347.53,2335.47,1698.5,315.21,1343.14,1243.55,200.05,,280.97,13.05,3522.21,14975.99,,390.66,786.59,794.7,4757.96,6371.37,116.36,67770.43,1365.27,169.62,981.98,1548.49,119.81,704.42,421.48,2175.67,1669.1,39934.11,457.79,37.11,585.59,1636.35,21199.22,2258.71,468.85,2463.52,912.37
2613.61,3761.93,2146.72,1564.33,2558.47,1835.98,1780.54,774.03,260.2,739.21,510.73,3143.89,4103.76,7353.0,7755.53,1174.73,1849.43,593.87,774.39,6744.43,558.62,193.96,172.67,930.83,153.21,235.53,2543.41,543.74,124.8,16742.33,2522.12,383.55,332.39,3273.19,1108.95,24894.42,3776.26,849.67,1461.73,756.5,4451.46,4311.57,513.08,853.17,1363.44,723.64,2326.54,,1987.2,2460.48,2536.79,523.86,828.66,739.66,932.81,161.95,1026.33,1585.8,398.04,2749.47,14437.17,313.44,349.84,2331.37,1705.1,320.54,1370.35,1250.2,200.09,,287.87,14.2,3503.65,14974.87,,386.44,778.04,806.0,4741.14,6329.31,118.21,67625.44,1367.49,172.0,969.55,1553.56,121.81,707.14,424.15,2207.24,1658.27,39774.86,458.18,37.33,581.97,1619.87,21410.93,2278.69,460.06,2470.01,909.73
